lead_time,arrival_date_month,arrival_date_day_of_month,total_stays,guests,market_segment,distribution_channel,previous_cancellations,reserved_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests
342,July,1,0,2,Direct,Direct,0,C,3,No Deposit,Transient,0,0,0
737,July,1,0,2,Direct,Direct,0,C,4,No Deposit,Transient,0,0,0
7,July,1,0,1,Direct,Direct,0,A,0,No Deposit,Transient,75,0,0
13,July,1,0,1,Corporate,Corporate,0,A,0,No Deposit,Transient,75,0,0
14,July,1,0,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,98,0,1
14,July,1,0,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,98,0,1
0,July,1,0,2,Direct,Direct,0,C,0,No Deposit,Transient,107,0,0
9,July,1,0,2,Direct,Direct,0,C,0,No Deposit,Transient,103,0,1
85,July,1,0,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,82,0,1
75,July,1,0,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Transient,105.5,0,0
23,July,1,0,2,Online TA,TA/TO,0,E,0,No Deposit,Transient,123,0,0
35,July,1,0,2,Online TA,TA/TO,0,D,0,No Deposit,Transient,145,0,0
68,July,1,0,2,Online TA,TA/TO,0,D,0,No Deposit,Transient,97,0,3
18,July,1,0,2,Online TA,TA/TO,0,G,1,No Deposit,Transient,154.77,0,1
37,July,1,0,2,Online TA,TA/TO,0,E,0,No Deposit,Transient,94.71,0,0
68,July,1,0,2,Online TA,TA/TO,0,D,0,No Deposit,Transient,97,0,3
37,July,1,0,2,Offline TA/TO,TA/TO,0,E,0,No Deposit,Contract,97.5,0,0
12,July,1,0,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,88.2,0,0
0,July,1,0,2,Corporate,Corporate,0,A,0,No Deposit,Transient,107.42,0,0
7,July,1,0,2,Direct,Direct,0,G,0,No Deposit,Transient,153,0,1
37,July,1,1,1,Online TA,TA/TO,0,F,0,No Deposit,Transient,97.29,0,1
72,July,1,2,2,Direct,Direct,0,A,1,No Deposit,Transient,84.67,0,1
72,July,1,2,2,Direct,Direct,0,A,1,No Deposit,Transient,84.67,0,1
72,July,1,2,2,Direct,Direct,0,D,1,No Deposit,Transient,99.67,0,1
127,July,1,2,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Contract,94.95,0,1
78,July,1,2,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Transient,63.6,1,0
48,July,1,2,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Contract,79.5,0,0
60,July,1,2,2,Online TA,TA/TO,0,E,0,No Deposit,Transient,107,0,2
77,July,1,2,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,94,0,0
99,July,1,2,2,Online TA,TA/TO,0,D,0,No Deposit,Transient,87.3,1,1
118,July,1,4,1,Direct,Direct,0,A,2,No Deposit,Transient,62,0,2
95,July,1,4,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Transient,63.86,0,0
96,July,1,2,2,Direct,Direct,0,E,0,No Deposit,Transient,108.3,0,2
69,July,2,2,2,Offline TA/TO,TA/TO,0,A,0,No Deposit,Transient,65.5,0,0
45,July,2,1,3,Online TA,TA/TO,0,D,0,No Deposit,Transient,108.8,0,1
40,July,2,1,3,Online TA,TA/TO,0,D,0,No Deposit,Transient,108.8,0,1
15,July,2,1,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,98,0,0
36,July,2,1,3,Online TA,TA/TO,0,D,0,No Deposit,Transient,108.8,0,1
43,July,2,1,3,Online TA,TA/TO,0,D,0,No Deposit,Transient,108.8,0,0
70,July,2,2,2,Direct,Direct,0,E,0,No Deposit,Transient,137,0,1
45,July,2,2,2,Online TA,TA/TO,0,G,0,No Deposit,Transient,117.81,0,0
45,July,2,2,2,Offline TA/TO,TA/TO,0,D,0,No Deposit,Contract,79.5,0,0
16,July,2,2,2,Direct,Direct,0,F,0,No Deposit,Transient,123,0,0
70,July,2,2,2,Direct,Direct,0,E,0,No Deposit,Transient,137,0,1
107,July,2,2,2,Online TA,TA/TO,0,A,0,No Deposit,Transient,110.7,0,2
47,July,2,2,2,Online TA,TA/TO,0,G,0,No Deposit,Transient,153,0,0
96,July,2,2,2,Offline TA/TO,TA/TO,0,A,0,No Deposit,Transient,58.95,0,1
113,July,2,2,2,Offline TA/TO,TA/TO,0,E,0,No Deposit,Transient-Party,82.88,0,2
90,July,2,2,2,Offline TA/TO,TA/TO,0,A,1,No Deposit,Contract,82.35,0,0
50,July,2,2,2,Online TA,TA/TO,0,E,1,No Deposit,Transient,119.35,0,1